RPM;Nm;kW;%;;;
3906;40.00;19.04;86.0;;;
4297;-25.00;-8.94;79.4;;;
4297;-20.00;-6.79;75.4;;;
4297;-15.00;-4.63;68.6;;;
4297;-6.21;-0.77;27.4;;;
4297;0.00;1.95;0.0;;;
4297;5.00;4.26;52.9;;;
4297;10.00;6.78;66.4;;;
4297;15.00;9.18;73.5;;;
4297;20.00;11.47;78.5;;;
4297;25.00;13.57;82.9;;;
4297;30.00;15.96;84.6;;;
4297;35.00;18.50;85.1;;;
4688;-25.00;-9.72;79.2;;;
4688;-20.00;-7.34;74.8;;;
4688;-15.00;-4.99;67.7;;;
4688;-6.21;-0.84;27.7;;;
4688;0.00;2.04;0.0;;;
4688;5.00;4.56;53.8;;;
4688;10.00;7.41;66.2;;;
4688;15.00;10.08;73.1;;;
4688;20.00;12.58;78.0;;;
4688;25.00;14.89;82.4;;;
4688;30.00;17.47;84.3;;;
5078;-20.00;-7.82;73.5;;;
5078;-15.00;-5.25;65.8;;;
5078;-6.21;-0.82;24.8;;;
5078;0.00;2.16;0.0;;;
5078;5.00;4.86;54.7;;;
5078;10.00;8.06;66.0;;;
5078;15.00;10.98;72.6;;;
5078;20.00;13.71;77.5;;;
5078;25.00;16.18;82.2;;;
5469;-20.00;-8.39;73.2;;;
5469;-15.00;-5.63;65.6;;;
5469;-6.21;-0.75;21.0;;;
5469;0.00;2.35;0.0;;;
5469;5.00;5.18;55.3;;;
5469;10.00;8.67;66.1;;;
5469;15.00;11.76;73.0;;;
5469;20.00;14.42;79.4;;;
5469;25.00;17.43;82.1;;;
5859;0.00;2.42;0.0;;;
5859;5.00;5.51;55.7;;;
5859;10.00;9.37;65.5;;;
5859;15.00;12.88;71.5;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
